,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,passive,direction,Labels,Classification_US_l,Classification_US_nl,Classification_S_l,Classification_S_nl
164,0.011370674595091279,0.0,0.0,0.0,0.0,0.0,0.0,0.42485660391878116,17.306170520965765,17.54610986213976,0.003977251063565738,17.73817206908,16.475188697299085,12.529711740159714,1.6125931456303235,6.419992795555369,23.222865551130877,33.222305784099106,13.43111066989413,0.0,14.424461033774847,8.429299023126363,5.676086054351138,6.665640100298867,0.04723537834452921,18.232583975163077,32.27117316520573,20.707054473057322,7.678667519832899,0.3184407967459287,7.37906834533081,22.493088242199693,29.858680805392723,0.0,31.470295549870134,14.821916577012558,8.301130973711263,0.8003803291734797,6.3985129061574915,9.69539743946073,9.952106204106196,6.279313075288441,4.225908089172981,0.0,28.844069169895533,11.791025323519678,24.20052139824399,0.0,115.27518599775608,0.0,0.0,11.675542004842796,0.0,0.8003803291734797,2.927952170115826,0.0,0.04723537834452921,3.8112395130804946,0.0,3.156967359853994,0.23384578154799238,2.5558062668653707,0.0,0.22837045922419594,8.840080738650585,1.76184391198038,0.0,0.0,4.083804397297758,0.0,18.390108161255352,13.848536193471405,0,0.0,0,45,45,45,0
229,6.254737462131232,0.0,0.0,0.0,0.0,0.0,0.0,5.945100236740569,13.43767212993937,2.3728525647506875,0.0,24.523630645928304,38.23682839704254,23.213734036266217,11.165732245254098,11.61822237484961,16.902256094444027,9.10318998818872,0.0,0.0,7.707959984187873,32.40994449564623,9.415682073048792,5.763665706152675,2.791741838997232,13.528467188868241,5.453158036667222,19.55370571064358,7.2651869318044335,0.0,0.5505977407697136,12.6850139519615,16.114923338424855,0.0,31.200669225924127,17.600634267378016,1.5279981304323875,0.0,6.412599372023842,6.493217136158212,9.61898117842619,11.85990130677331,6.9436312597772805,0.0,20.454349533352257,11.472355956743963,44.771163161528364,0.0,83.38225965840257,0.08459501519793632,0.024575613157207795,9.411704821985227,0.0,0.0,17.025196836941717,0.003977251063565738,13.948231047964684,6.5802931994002165,0.0,0.0,1.5525737435895952,2.007298316679526,0.0,0.0,10.964518433814954,1.1243308831995773,0.0,0.015347925658657016,33.19829040875058,0.0,15.927259495273548,8.763940308926122,0,0.0,0,0,0,0,0
311,0.0,0.0,0.3655542480711615,0.0,0.0,0.0,0.0,13.480301536312636,10.540325526620753,20.273488940971372,5.151790360322132,25.587946711326712,36.25822485973227,21.060572374930427,0.0,10.33854185942899,4.414839039867581,13.999442200765252,4.982805774624601,5.008014916295873,21.85586114044945,54.185885691905575,6.254737462131232,5.956503517519081,30.70237961171135,24.000821773972472,41.29192696260779,26.729346440276185,8.925099410800142,5.53231061032488,5.956503517519079,10.162110973248923,33.49925638292196,0.0,40.296156796380195,6.254737462131232,40.08513537331394,0.0,0.0,6.254737462131232,32.727682547060425,30.8131596280533,2.0072983166795266,0.3655542480711615,11.043024259027748,6.408622120960278,19.032411956490886,2.962824764474357,162.02588292001164,5.03259052945308,3.786663899923287,23.47374988543784,0.0,0.0,3.1815429730112013,0.0,0.0,15.680029146405646,0.0,9.180075228131331,5.956503517519081,0.0,0.0,10.540325526620753,45.580550759347425,0.0,6.408622120960278,0.0,0.08459501519793632,2.5558062668653707,19.35400168850339,1.7658211630439453,1,90.0,90_passive,0_passive,45_passive,225_passive,90_passive
221,0.2338457815479924,0.0,0.0,0.0,0.0,0.0,0.0,0.003977251063565738,14.748611377138161,6.8426601607880615,0.0,19.681870896807826,13.074262221259145,8.4712502557404,7.482148975646893,2.5558062668653707,13.653881155871046,18.497471437974806,11.569399492486907,0.0,8.298479950650469,8.269413163712711,4.414839039867581,3.786663899923287,0.024575613157207795,13.024310068321045,5.008014916295872,13.773184219400662,11.046501424665067,0.5505977407697136,5.151790360322132,20.493606096471567,18.282935998905035,0.0,37.572768300698385,0.0,0.7311084961423228,0.0,2.652329013631965,1.5752335087769167,10.22639847979414,4.910994783122863,10.58894926502463,0.0,27.928175252337656,7.624284801473894,24.328015992911833,0.0,48.78620399742147,0.0,0.0,50.43108079853537,0.0,0.0,5.583188270222794,0.0,0.0,12.66335958309151,0.0,0.0,0.0,0.0,1.5279981304323875,1.1243308831995773,1.5792107598404825,0.011370674595091279,0.0,0.0,7.815693562148879,0.0,11.87597872076806,5.824034045658377,0,0.0,0,0,0,0,0
122,6.254737462131232,0.0,0.0,0.0,0.0,0.9161519888408748,0.0,0.08857226626150204,0.0,5.7661563918728715,0.0,18.599626046657892,10.51394459254096,15.610896872908322,6.805335202900948,2.241144098227519,5.956147940559177,5.617218710005207,1.034226110721472,0.0,31.831797136822072,18.145284857762785,0.8003803291734797,0.0,61.36914193548461,2.191899565262456,31.381064814030665,17.73366748072347,23.826197610653267,0.0,2.562224241153859,22.442844338950835,26.046303922268923,0.0,39.15182463554459,44.45593443780811,10.540325526620753,0.0,0.0245756131572078,7.563821183161244,6.131710639944033,25.6382256177599,0.0,6.254737462131232,22.03758123419099,8.33459479312564,12.188952103849337,15.573711972379398,123.01396150967923,0.08459501519793632,0.14377544402625964,11.905973519822021,9.94714965019246,0.0,18.19567019341639,0.0,12.851134785442738,38.48223424584232,0.0,5.605848035410116,0.5505977407697136,0.0,0.0,12.66335958309151,14.944015432310104,0.0,0.0,0.0,0.011370674595091279,0.0,14.6422509098758,26.991144735095144,0,135.0,135,135,135,135,135
253,31.711138106967912,0.0,0.0,0.0,0.0,0.024575613157207795,0.0,11.496598159975099,3.707565100623708,16.581424059337767,0.04723537834452921,49.735699716444316,67.93320084370596,7.097981462093064,0.2338457815479924,4.792460265441833,1.1243308831995773,10.555079831369822,0.6337794068665418,0.2338457815479924,32.251655539375584,29.53221481259214,8.14672293012987,0.2338457815479924,34.76879597281145,0.0,23.789279278438656,16.28759570640115,13.496028824763817,3.390813141401986,20.75833577302404,31.075074389038118,26.813057339824955,6.3326909394983595,50.21007163264215,5.956503517519079,24.874818337653295,0.0,5.53231061032488,0.0,51.801192475974965,18.719970619865983,3.786663899923287,0.0,7.782735592563619,6.254737462131232,3.1569673598539936,27.866534660018846,87.17778144063418,0.5994000296191538,0.0,24.156150961999035,0.0,0.0,1.872374739543705,0.0,8.286097954988804,20.28551600826224,6.3326909394983595,11.722320627329855,0.003977251063565738,0.0,0.0,12.57982131601745,14.129368971311068,0.024575613157207795,0.0,0.0,4.3285336213981,0.0,8.265842825417977,6.3387045475248955,1,0.0,0_passive,0_passive,0_passive,0_passive,45_passive
309,0.0,0.0,0.0,0.0,0.0,6.254737462131232,0.0,11.80461996990377,0.047235378344529205,12.627712654253543,1.5279981304323875,26.319636978978767,34.537031503908956,20.36161752151366,6.254737462131232,2.5558062668653707,18.20252950615867,6.248955352006693,2.359677031094622,0.0,37.59769707813337,25.08208876102739,6.408622120960278,3.055996260864775,25.317992789169097,16.042055864338888,22.312275288671817,21.055003766488433,8.689277970178873,13.808296020033522,0.024575613157207795,20.567886707585156,35.49769475577775,0.0,53.75784469068602,3.048073443118563,9.385278849142471,0.0,7.963801834198608,9.044389510544596,19.233231727421632,12.817244241920555,0.0,6.254737462131232,6.609124546629462,0.011370674595091279,6.983795474887198,16.38387152884318,142.12138864728394,5.956503517519079,0.0,22.742986630565728,0.0,0.0,2.8789762003755808,6.408622120960278,5.6432076722635225,13.67423993588678,0.0,5.53231061032488,11.940932731285157,0.0,0.0,0.003977251063565738,13.890146854683172,8.559545162728979,0.0,0.0,2.5558062668653707,12.509474924262465,13.305168696032517,10.975889108410044,1,90.0,90_passive,90_passive,90_passive,90_passive,90_passive
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.21284147451749,13.976420555185086,16.35412990706458,0.0,25.841850030436877,2.5558062668653707,15.97229039251539,8.821914403591695,1.2089258983975133,27.260657258000702,3.394790392465552,0.0245756131572078,0.0,23.06292122751742,22.58690933968171,0.0,1.5279981304323875,3.4916736906700963,9.998446221744489,13.51097529060952,22.808512096924442,14.63211514047884,5.008014916295872,10.726064023003397,18.153719242513002,20.51163278427762,0.23384578154799238,36.112509851548396,6.061951790999243,2.007298316679526,1.5279981304323875,3.1217519332937407,1.5279981304323875,0.0,11.120769194052599,5.008014916295873,0.0,0.8849753443714161,0.08459501519793632,20.124139028360315,0.0,33.05210136873071,0.0,2.5558062668653707,13.569417644397882,0.0,0.0,0.7350857472058886,0.0,0.0,18.993134782853115,0.23384578154799238,8.08437294648249,0.0,6.254737462131232,0.0,0.0,7.703404494348035,0.0,0.0,0.0,21.543376522030453,0.0,15.179679299526336,12.112348181944318,0,270.0,270,315,315,270,270
219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.102988945669651,14.922821078042007,0.0,31.974872450043545,33.68000838617435,11.0538522757017,12.49251656424734,6.254737462131232,38.037953799976414,13.545842965802223,13.639887888549746,0.0,7.759645672831922,11.20234146642651,5.48534581945986,0.047235378344529205,0.08857226626150205,18.307962808779322,26.738379726016884,18.170257911790667,10.72079697748223,0.0,6.408622120960278,16.65502318663701,16.332289063064966,0.0,29.577380242277655,0.05860605293962049,5.8092963734859575,0.0,0.0,0.3655542480711614,15.840744510627152,4.426209714462672,4.68496549028638,0.0,36.621695844598115,16.355106476062836,17.730571756964135,2.0899665457971923,92.44643856286122,0.0,0.047235378344529205,13.608896966941826,10.82346116082786,0.0,0.0,0.003977251063565738,5.008014916295872,21.359961878196675,0.0,0.0,6.408622120960278,0.0,0.0,0.0,1.5279981304323875,5.008014916295872,0.0,6.408622120960278,16.262999419433857,0.0,11.6407238736509,9.78478209582124,0,0.0,0,0,0,45,0
96,10.822987646027086,0.0,6.254737462131232,0.0,0.0,5.956503517519079,0.0,2.0072983166795266,14.652819334269575,10.691942043680827,0.0,39.723404328692006,10.193287496098481,13.313380538942312,1.5279981304323875,6.872777433379252,11.655140061490096,10.242521399228092,11.50359815386269,0.0,22.55155437315967,9.465358778225125,8.87786403245561,3.1609446109175594,2.482023193105832,5.29307332725196,6.322057765590242,22.40511698019399,15.935198294948982,4.780393287938743,9.743167417442367,3.5397213908818586,16.720459868841,0.0,38.89390383887224,0.4501492632690977,1.5279981304323875,0.04723537834452921,0.0,1.1243308831995773,26.910706349205697,3.8830505045822314,1.5279981304323875,0.0,9.646202773755745,5.314662030355675,16.206063571372717,0.08459501519793632,69.14639951320227,3.833899278267816,10.120343989402889,31.39537177177675,0.0,0.0,2.8190493204480975,0.0,0.0,12.721840002925852,0.0,0.0,0.0,0.0,0.0,8.268579893584734,2.789898397470056,0.08459501519793632,0.0,2.5558062668653707,4.275788485773403,0.0,29.57685605660838,4.30231959662203,0,0.0,0,45,45,0,0
